U+0009, CHARACTER TABULATION                   , Tab
U+22D1, DOUBLE SUPERSET                        , Sup, Supset
U+22D2, DOUBLE INTERSECTION                    , Cap
U+22D3, DOUBLE UNION                           , Cup
U+22D4, PITCHFORK                              , fork, pitchfork
U+22D5, EQUAL AND PARALLEL TO                  , epar
U+22D6, LESS-THAN WITH DOT                     , ltdot, lessdot
U+22D7, GREATER-THAN WITH DOT                  , gtdot, gtrdot
U+22D8, VERY MUCH LESS-THAN                    , Ll
U+22D8 U+0338, VERY MUCH LESS-THAN with slash         , nLl
U+22D9, VERY MUCH GREATER-THAN                 , Gg, ggg
U+22D9 U+0338, VERY MUCH GREATER-THAN with slash      , nGg
U+22DA, LESS-THAN EQUAL TO OR GREATER-THAN     , leg, LessEqualGreater, lesseqgtr
U+22DA U+FE00, LESS-THAN slanted EQUAL TO OR GREATER-THAN, lesg
U+22DB, GREATER-THAN EQUAL TO OR LESS-THAN     , gel, gtreqless, GreaterEqualLess
U+22DB U+FE00, GREATER-THAN slanted EQUAL TO OR LESS-THAN, gesl
U+22DE, EQUAL TO OR PRECEDES                   , cuepr, curlyeqprec
U+22DF, EQUAL TO OR SUCCEEDS                   , cuesc, curlyeqsucc
U+22E0, DOES NOT PRECEDE OR EQUAL              , nprcue, NotPrecedesSlantEqual
U+22E1, DOES NOT SUCCEED OR EQUAL              , nsccue, NotSucceedsSlantEqual
U+22E2, NOT SQUARE IMAGE OF OR EQUAL TO        , nsqsube, NotSquareSubsetEqual
U+22E3, NOT SQUARE ORIGINAL OF OR EQUAL TO     , nsqsupe, NotSquareSupersetEqual
U+22E6, LESS-THAN BUT NOT EQUIVALENT TO        , lnsim
U+22E7, GREATER-THAN BUT NOT EQUIVALENT TO     , gnsim
U+22E8, PRECEDES BUT NOT EQUIVALENT TO         , prnsim, precnsim
U+22E9, SUCCEEDS BUT NOT EQUIVALENT TO         , scnsim, succnsim
U+22EA, NOT NORMAL SUBGROUP OF                 , nltri, ntriangleleft, NotLeftTriangle
U+22EB, DOES NOT CONTAIN AS NORMAL SUBGROUP    , nrtri, ntriangleright, NotRightTriangle
U+22EC, NOT NORMAL SUBGROUP OF OR EQUAL TO     , nltrie, ntrianglelefteq, NotLeftTriangleEqual
U+22ED, DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL, nrtrie, ntrianglerighteq, NotRightTriangleEqual
U+22EE, VERTICAL ELLIPSIS                      , vellip
U+22EF, MIDLINE HORIZONTAL ELLIPSIS            , ctdot
U+22F0, UP RIGHT DIAGONAL ELLIPSIS             , utdot
U+22F1, DOWN RIGHT DIAGONAL ELLIPSIS           , dtdot
U+22F2, ELEMENT OF WITH LONG HORIZONTAL STROKE , disin
U+22F3, ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE, isinsv
U+22F4, SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE, isins
U+22F5, ELEMENT OF WITH DOT ABOVE              , isindot
U+22F5 U+0338, ELEMENT OF WITH DOT ABOVE with slash   , notindot
U+22F6, ELEMENT OF WITH OVERBAR                , notinvc
U+22F7, SMALL ELEMENT OF WITH OVERBAR          , notinvb
U+22F9, ELEMENT OF WITH TWO HORIZONTAL STROKES , isinE
U+22F9 U+0338, ELEMENT OF WITH TWO HORIZONTAL STROKES with slash, notinE
U+22FA, CONTAINS WITH LONG HORIZONTAL STROKE   , nisd
U+22FB, CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE, xnis
U+22FC, SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE, nis
U+22FD, CONTAINS WITH OVERBAR                  , notnivc
U+22FE, SMALL CONTAINS WITH OVERBAR            , notnivb
U+2305, PROJECTIVE                             , barwed, barwedge
U+2306, PERSPECTIVE                            , Barwed, doublebarwedge
U+2308, LEFT CEILING                           , lceil, LeftCeiling
U+2309, RIGHT CEILING                          , rceil, RightCeiling
U+230A, LEFT FLOOR                             , lfloor, LeftFloor
U+230B, RIGHT FLOOR                            , rfloor, RightFloor
U+230C, BOTTOM RIGHT CROP                      , drcrop
U+230D, BOTTOM LEFT CROP                       , dlcrop
U+230E, TOP RIGHT CROP                         , urcrop
U+230F, TOP LEFT CROP                          , ulcrop
U+2310, REVERSED NOT SIGN                      , bnot
U+2312, ARC                                    , profline
U+2313, SEGMENT                                , profsurf
U+2315, TELEPHONE RECORDER                     , telrec
U+2316, POSITION INDICATOR                     , target
U+231C, TOP LEFT CORNER                        , ulcorn, ulcorner
U+231D, TOP RIGHT CORNER                       , urcorn, urcorner
U+231E, BOTTOM LEFT CORNER                     , dlcorn, llcorner
U+231F, BOTTOM RIGHT CORNER                    , drcorn, lrcorner
U+2322, FROWN                                  , frown, sfrown
U+2323, SMILE                                  , smile, ssmile
U+232D, CYLINDRICITY                           , cylcty
U+232E, ALL AROUND-PROFILE                     , profalar
U+2336, APL FUNCTIONAL SYMBOL I-BEAM           , topbot
U+233D, APL FUNCTIONAL SYMBOL CIRCLE STILE     , ovbar
U+233F, APL FUNCTIONAL SYMBOL SLASH BAR        , solbar
U+237C, RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW, angzarr
U+23B0, UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION, lmoust, lmoustache
U+23B1, UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION, rmoust, rmoustache
U+23B4, TOP SQUARE BRACKET                     , tbrk, OverBracket
U+23B5, BOTTOM SQUARE BRACKET                  , bbrk, UnderBracket
U+23B6, BOTTOM SQUARE BRACKET OVER TOP SQUARE BRACKET, bbrktbrk
U+23DC, TOP PARENTHESIS                        , OverParenthesis
U+23DD, BOTTOM PARENTHESIS                     , UnderParenthesis
U+23DE, TOP CURLY BRACKET                      , OverBrace
U+23DF, BOTTOM CURLY BRACKET                   , UnderBrace
U+23E2, WHITE TRAPEZIUM                        , trpezium
U+23E7, ELECTRICAL INTERSECTION                , elinters
U+2423, OPEN BOX                               , blank
U+24C8, CIRCLED LATIN CAPITAL LETTER S         , oS, circledS
U+2500, BOX DRAWINGS LIGHT HORIZONTAL          , boxh, HorizontalLine
U+2502, BOX DRAWINGS LIGHT VERTICAL            , boxv
U+250C, BOX DRAWINGS LIGHT DOWN AND RIGHT      , boxdr
U+2510, BOX DRAWINGS LIGHT DOWN AND LEFT       , boxdl
U+2514, BOX DRAWINGS LIGHT UP AND RIGHT        , boxur
U+2518, BOX DRAWINGS LIGHT UP AND LEFT         , boxul
U+251C, BOX DRAWINGS LIGHT VERTICAL AND RIGHT  , boxvr
U+2524, BOX DRAWINGS LIGHT VERTICAL AND LEFT   , boxvl
U+252C, BOX DRAWINGS LIGHT DOWN AND HORIZONTAL , boxhd
U+2534, BOX DRAWINGS LIGHT UP AND HORIZONTAL   , boxhu
U+253C, BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL, boxvh
U+2550, BOX DRAWINGS DOUBLE HORIZONTAL         , boxH
U+2551, BOX DRAWINGS DOUBLE VERTICAL           , boxV
U+2552, BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE, boxdR
U+2553, BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE, boxDr
U+2554, BOX DRAWINGS DOUBLE DOWN AND RIGHT     , boxDR
U+2555, BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE, boxdL
U+2556, BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE, boxDl
U+2557, BOX DRAWINGS DOUBLE DOWN AND LEFT      , boxDL
U+2558, BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE, boxuR
U+2559, BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE, boxUr
U+255A, BOX DRAWINGS DOUBLE UP AND RIGHT       , boxUR
U+255B, BOX DRAWINGS UP SINGLE AND LEFT DOUBLE , boxuL
U+255C, BOX DRAWINGS UP DOUBLE AND LEFT SINGLE , boxUl
U+255D, BOX DRAWINGS DOUBLE UP AND LEFT        , boxUL
U+255E, BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE, boxvR
U+255F, BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE, boxVr
U+2560, BOX DRAWINGS DOUBLE VERTICAL AND RIGHT , boxVR
U+2561, BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE, boxvL
U+2562, BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE, boxVl
U+2563, BOX DRAWINGS DOUBLE VERTICAL AND LEFT  , boxVL
U+2564, BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE, boxHd
U+2565, BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE, boxhD
U+2566, BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL, boxHD
U+2567, BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE, boxHu
U+2568, BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE, boxhU
U+2569, BOX DRAWINGS DOUBLE UP AND HORIZONTAL  , boxHU
U+256A, BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE, boxvH
U+256B, BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE, boxVh
U+256C, BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL, boxVH
U+2580, UPPER HALF BLOCK                       , uhblk
U+2584, LOWER HALF BLOCK                       , lhblk
U+2588, FULL BLOCK                             , block
U+2591, LIGHT SHADE                            , blk14
U+2592, MEDIUM SHADE                           , blk12
U+2593, DARK SHADE                             , blk34
U+25A1, WHITE SQUARE                           , squ, square, Square
U+25AA, BLACK SMALL SQUARE                     , squf, squarf, blacksquare, FilledVerySmallSquare
U+25AB, WHITE SMALL SQUARE                     , EmptyVerySmallSquare
U+25AD, WHITE RECTANGLE                        , rect
U+25AE, BLACK VERTICAL RECTANGLE               , marker
U+25B1, WHITE PARALLELOGRAM                    , fltns
U+25B3, WHITE UP-POINTING TRIANGLE             , xutri, bigtriangleup
U+25B4, BLACK UP-POINTING SMALL TRIANGLE       , utrif, blacktriangle
U+25B5, WHITE UP-POINTING SMALL TRIANGLE       , utri, triangle
U+25B8, BLACK RIGHT-POINTING SMALL TRIANGLE    , rtrif, blacktriangleright
U+25B9, WHITE RIGHT-POINTING SMALL TRIANGLE    , rtri, triangleright
U+25BD, WHITE DOWN-POINTING TRIANGLE           , xdtri, bigtriangledown
U+25BE, BLACK DOWN-POINTING SMALL TRIANGLE     , dtrif, blacktriangledown
U+25BF, WHITE DOWN-POINTING SMALL TRIANGLE     , dtri, triangledown
U+25C2, BLACK LEFT-POINTING SMALL TRIANGLE     , ltrif, blacktriangleleft
U+25C3, WHITE LEFT-POINTING SMALL TRIANGLE     , ltri, triangleleft
U+25CA, LOZENGE                                , loz, lozenge
U+25CB, WHITE CIRCLE                           , cir
U+25EC, WHITE UP-POINTING TRIANGLE WITH DOT    , tridot
U+25EF, LARGE CIRCLE                           , xcirc, bigcirc
U+25F8, UPPER LEFT TRIANGLE                    , ultri
U+25F9, UPPER RIGHT TRIANGLE                   , urtri
U+25FA, LOWER LEFT TRIANGLE                    , lltri
U+25FB, WHITE MEDIUM SQUARE                    , EmptySmallSquare
U+25FC, BLACK MEDIUM SQUARE                    , FilledSmallSquare
U+2605, BLACK STAR                             , starf, bigstar
U+2606, WHITE STAR                             , star
U+260E, BLACK TELEPHONE                        , phone
U+2640, FEMALE SIGN                            , female
U+2642, MALE SIGN                              , male
U+2660, BLACK SPADE SUIT                       , spades, spadesuit
U+2663, BLACK CLUB SUIT                        , clubs, clubsuit
U+2665, BLACK HEART SUIT                       , hearts, heartsuit
U+2666, BLACK DIAMOND SUIT                     , diams, diamondsuit
U+266A, EIGHTH NOTE                            , sung
U+266D, MUSIC FLAT SIGN                        , flat
U+266E, MUSIC NATURAL SIGN                     , natur, natural
U+266F, MUSIC SHARP SIGN                       , sharp
U+2713, CHECK MARK                             , check, checkmark
U+2717, BALLOT X                               , cross
U+2720, MALTESE CROSS                          , malt, maltese
U+2736, SIX POINTED BLACK STAR                 , sext
U+2758, LIGHT VERTICAL BAR                     , VerticalSeparator
U+2772, LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT, lbbrk
U+2773, LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT, rbbrk
U+27C8, REVERSE SOLIDUS PRECEDING SUBSET       , bsolhsub
U+27C9, SUPERSET PRECEDING SOLIDUS             , suphsol
U+27E6, MATHEMATICAL LEFT WHITE SQUARE BRACKET , lobrk, LeftDoubleBracket
U+27E7, MATHEMATICAL RIGHT WHITE SQUARE BRACKET, robrk, RightDoubleBracket
U+27E8, MATHEMATICAL LEFT ANGLE BRACKET        , lang, LeftAngleBracket, langle
U+27E9, MATHEMATICAL RIGHT ANGLE BRACKET       , rang, RightAngleBracket, rangle
U+27EA, MATHEMATICAL LEFT DOUBLE ANGLE BRACKET , Lang
U+27EB, MATHEMATICAL RIGHT DOUBLE ANGLE BRACKET, Rang
U+27EC, MATHEMATICAL LEFT WHITE TORTOISE SHELL BRACKET, loang
U+27ED, MATHEMATICAL RIGHT WHITE TORTOISE SHELL BRACKET, roang
U+27F5, LONG LEFTWARDS ARROW                   , xlarr, longleftarrow, LongLeftArrow
U+27F6, LONG RIGHTWARDS ARROW                  , xrarr, longrightarrow, LongRightArrow
U+27F7, LONG LEFT RIGHT ARROW                  , xharr, longleftrightarrow, LongLeftRightArrow
U+27F8, LONG LEFTWARDS DOUBLE ARROW            , xlArr, Longleftarrow, DoubleLongLeftArrow
U+27F9, LONG RIGHTWARDS DOUBLE ARROW           , xrArr, Longrightarrow, DoubleLongRightArrow
U+27FA, LONG LEFT RIGHT DOUBLE ARROW           , xhArr, Longleftrightarrow, DoubleLongLeftRightArrow
U+27FC, LONG RIGHTWARDS ARROW FROM BAR         , xmap, longmapsto
U+27FF, LONG RIGHTWARDS SQUIGGLE ARROW         , dzigrarr
U+2902, LEFTWARDS DOUBLE ARROW WITH VERTICAL STROKE, nvlArr
U+2903, RIGHTWARDS DOUBLE ARROW WITH VERTICAL STROKE, nvrArr
U+2904, LEFT RIGHT DOUBLE ARROW WITH VERTICAL STROKE, nvHarr
U+2905, RIGHTWARDS TWO-HEADED ARROW FROM BAR   , Map
U+290C, LEFTWARDS DOUBLE DASH ARROW            , lbarr
U+290D, RIGHTWARDS DOUBLE DASH ARROW           , rbarr, bkarow
U+290E, LEFTWARDS TRIPLE DASH ARROW            , lBarr
U+290F, RIGHTWARDS TRIPLE DASH ARROW           , rBarr, dbkarow
U+2910, RIGHTWARDS TWO-HEADED TRIPLE DASH ARROW, RBarr, drbkarow
U+2911, RIGHTWARDS ARROW WITH DOTTED STEM      , DDotrahd
U+2912, UPWARDS ARROW TO BAR                   , UpArrowBar
U+2913, DOWNWARDS ARROW TO BAR                 , DownArrowBar
U+2916, RIGHTWARDS TWO-HEADED ARROW WITH TAIL  , Rarrtl
U+2919, LEFTWARDS ARROW-TAIL                   , latail
U+291A, RIGHTWARDS ARROW-TAIL                  , ratail
U+291B, LEFTWARDS DOUBLE ARROW-TAIL            , lAtail
U+291C, RIGHTWARDS DOUBLE ARROW-TAIL           , rAtail
U+291D, LEFTWARDS ARROW TO BLACK DIAMOND       , larrfs
U+291E, RIGHTWARDS ARROW TO BLACK DIAMOND      , rarrfs
U+291F, LEFTWARDS ARROW FROM BAR TO BLACK DIAMOND, larrbfs
U+2920, RIGHTWARDS ARROW FROM BAR TO BLACK DIAMOND, rarrbfs
U+2923, NORTH WEST ARROW WITH HOOK             , nwarhk
U+2924, NORTH EAST ARROW WITH HOOK             , nearhk
U+2925, SOUTH EAST ARROW WITH HOOK             , searhk, hksearow
U+2926, SOUTH WEST ARROW WITH HOOK             , swarhk, hkswarow
U+2927, NORTH WEST ARROW AND NORTH EAST ARROW  , nwnear
U+2928, NORTH EAST ARROW AND SOUTH EAST ARROW  , nesear, toea
U+2929, SOUTH EAST ARROW AND SOUTH WEST ARROW  , seswar, tosa
U+292A, SOUTH WEST ARROW AND NORTH WEST ARROW  , swnwar
U+2933, WAVE ARROW POINTING DIRECTLY RIGHT     , rarrc
U+2933 U+0338, WAVE ARROW POINTING DIRECTLY RIGHT with slash, nrarrc
U+2935, ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS, cudarrr
U+2936, ARROW POINTING DOWNWARDS THEN CURVING LEFTWARDS, ldca
U+2937, ARROW POINTING DOWNWARDS THEN CURVING RIGHTWARDS, rdca
U+2938, RIGHT-SIDE ARC CLOCKWISE ARROW         , cudarrl
U+2939, LEFT-SIDE ARC ANTICLOCKWISE ARROW      , larrpl
U+293C, TOP ARC CLOCKWISE ARROW WITH MINUS     , curarrm
U+293D, TOP ARC ANTICLOCKWISE ARROW WITH PLUS  , cularrp
U+2945, RIGHTWARDS ARROW WITH PLUS BELOW       , rarrpl
U+2948, LEFT RIGHT ARROW THROUGH SMALL CIRCLE  , harrcir
U+2949, UPWARDS TWO-HEADED ARROW FROM SMALL CIRCLE, Uarrocir
U+294A, LEFT BARB UP RIGHT BARB DOWN HARPOON   , lurdshar
U+294B, LEFT BARB DOWN RIGHT BARB UP HARPOON   , ldrushar
U+294E, LEFT BARB UP RIGHT BARB UP HARPOON     , LeftRightVector
U+294F, UP BARB RIGHT DOWN BARB RIGHT HARPOON  , RightUpDownVector
U+2950, LEFT BARB DOWN RIGHT BARB DOWN HARPOON , DownLeftRightVector
U+2951, UP BARB LEFT DOWN BARB LEFT HARPOON    , LeftUpDownVector
U+2952, LEFTWARDS HARPOON WITH BARB UP TO BAR  , LeftVectorBar
U+2953, RIGHTWARDS HARPOON WITH BARB UP TO BAR , RightVectorBar
U+2954, UPWARDS HARPOON WITH BARB RIGHT TO BAR , RightUpVectorBar
U+2955, DOWNWARDS HARPOON WITH BARB RIGHT TO BAR, RightDownVectorBar
U+2956, LEFTWARDS HARPOON WITH BARB DOWN TO BAR, DownLeftVectorBar
U+2957, RIGHTWARDS HARPOON WITH BARB DOWN TO BAR, DownRightVectorBar
U+2958, UPWARDS HARPOON WITH BARB LEFT TO BAR  , LeftUpVectorBar
U+2959, DOWNWARDS HARPOON WITH BARB LEFT TO BAR, LeftDownVectorBar
U+295A, LEFTWARDS HARPOON WITH BARB UP FROM BAR, LeftTeeVector
U+295B, RIGHTWARDS HARPOON WITH BARB UP FROM BAR, RightTeeVector
U+295C, UPWARDS HARPOON WITH BARB RIGHT FROM BAR, RightUpTeeVector
U+295D, DOWNWARDS HARPOON WITH BARB RIGHT FROM BAR, RightDownTeeVector
U+295E, LEFTWARDS HARPOON WITH BARB DOWN FROM BAR, DownLeftTeeVector
U+295F, RIGHTWARDS HARPOON WITH BARB DOWN FROM BAR, DownRightTeeVector
U+2960, UPWARDS HARPOON WITH BARB LEFT FROM BAR, LeftUpTeeVector
U+2961, DOWNWARDS HARPOON WITH BARB LEFT FROM BAR, LeftDownTeeVector
U+2962, LEFTWARDS HARPOON WITH BARB UP ABOVE LEFTWARDS HARPOON WITH BARB DOWN, lHar
U+2963, UPWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT, uHar
U+2964, RIGHTWARDS HARPOON WITH BARB UP ABOVE RIGHTWARDS HARPOON WITH BARB DOWN, rHar
U+2965, DOWNWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT, dHar
U+2966, LEFTWARDS HARPOON WITH BARB UP ABOVE RIGHTWARDS HARPOON WITH BARB UP, luruhar
U+2967, LEFTWARDS HARPOON WITH BARB DOWN ABOVE RIGHTWARDS HARPOON WITH BARB DOWN, ldrdhar
U+2968, RIGHTWARDS HARPOON WITH BARB UP ABOVE LEFTWARDS HARPOON WITH BARB UP, ruluhar
U+2969, RIGHTWARDS HARPOON WITH BARB DOWN ABOVE LEFTWARDS HARPOON WITH BARB DOWN, rdldhar
U+296A, LEFTWARDS HARPOON WITH BARB UP ABOVE LONG DASH, lharul
U+296B, LEFTWARDS HARPOON WITH BARB DOWN BELOW LONG DASH, llhard
U+296C, RIGHTWARDS HARPOON WITH BARB UP ABOVE LONG DASH, rharul
U+296D, RIGHTWARDS HARPOON WITH BARB DOWN BELOW LONG DASH, lrhard
U+296E, UPWARDS HARPOON WITH BARB LEFT BESIDE DOWNWARDS HARPOON WITH BARB RIGHT, udhar, UpEquilibrium
U+296F, DOWNWARDS HARPOON WITH BARB LEFT BESIDE UPWARDS HARPOON WITH BARB RIGHT, duhar, ReverseUpEquilibrium
U+2970, RIGHT DOUBLE ARROW WITH ROUNDED HEAD   , RoundImplies
U+2971, EQUALS SIGN ABOVE RIGHTWARDS ARROW     , erarr
U+2972, TILDE OPERATOR ABOVE RIGHTWARDS ARROW  , simrarr
U+2973, LEFTWARDS ARROW ABOVE TILDE OPERATOR   , larrsim
U+2974, RIGHTWARDS ARROW ABOVE TILDE OPERATOR  , rarrsim
U+2975, RIGHTWARDS ARROW ABOVE ALMOST EQUAL TO , rarrap
U+2976, LESS-THAN ABOVE LEFTWARDS ARROW        , ltlarr
U+2978, GREATER-THAN ABOVE RIGHTWARDS ARROW    , gtrarr
U+2979, SUBSET ABOVE RIGHTWARDS ARROW          , subrarr
U+297B, SUPERSET ABOVE LEFTWARDS ARROW         , suplarr
U+297C, LEFT FISH TAIL                         , lfisht
U+297D, RIGHT FISH TAIL                        , rfisht
U+297E, UP FISH TAIL                           , ufisht
U+297F, DOWN FISH TAIL                         , dfisht
U+2985, LEFT WHITE PARENTHESIS                 , lopar
U+2986, RIGHT WHITE PARENTHESIS                , ropar
U+298B, LEFT SQUARE BRACKET WITH UNDERBAR      , lbrke
U+298C, RIGHT SQUARE BRACKET WITH UNDERBAR     , rbrke
U+298D, LEFT SQUARE BRACKET WITH TICK IN TOP CORNER, lbrkslu
U+298E, RIGHT SQUARE BRACKET WITH TICK IN BOTTOM CORNER, rbrksld
U+298F, LEFT SQUARE BRACKET WITH TICK IN BOTTOM CORNER, lbrksld
U+2990, RIGHT SQUARE BRACKET WITH TICK IN TOP CORNER, rbrkslu
U+2991, LEFT ANGLE BRACKET WITH DOT            , langd
U+2992, RIGHT ANGLE BRACKET WITH DOT           , rangd
U+2993, LEFT ARC LESS-THAN BRACKET             , lparlt
U+2994, RIGHT ARC GREATER-THAN BRACKET         , rpargt
U+2995, DOUBLE LEFT ARC GREATER-THAN BRACKET   , gtlPar
U+2996, DOUBLE RIGHT ARC LESS-THAN BRACKET     , ltrPar
U+299A, VERTICAL ZIGZAG LINE                   , vzigzag
U+299C, RIGHT ANGLE VARIANT WITH SQUARE        , vangrt
U+299D, MEASURED RIGHT ANGLE WITH DOT          , angrtvbd
U+29A4, ANGLE WITH UNDERBAR                    , ange
U+29A5, REVERSED ANGLE WITH UNDERBAR           , range
U+29A6, OBLIQUE ANGLE OPENING UP               , dwangle
U+29A7, OBLIQUE ANGLE OPENING DOWN             , uwangle
U+29A8, MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND RIGHT, angmsdaa
U+29A9, MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING UP AND LEFT, angmsdab
U+29AA, MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND RIGHT, angmsdac
U+29AB, MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING DOWN AND LEFT, angmsdad
U+29AC, MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND UP, angmsdae
U+29AD, MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND UP, angmsdaf
U+29AE, MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING RIGHT AND DOWN, angmsdag
U+29AF, MEASURED ANGLE WITH OPEN ARM ENDING IN ARROW POINTING LEFT AND DOWN, angmsdah
U+29B0, REVERSED EMPTY SET                     , bemptyv
U+29B1, EMPTY SET WITH OVERBAR                 , demptyv
U+29B2, EMPTY SET WITH SMALL CIRCLE ABOVE      , cemptyv
U+29B3, EMPTY SET WITH RIGHT ARROW ABOVE       , raemptyv
U+29B4, EMPTY SET WITH LEFT ARROW ABOVE        , laemptyv
U+29B5, CIRCLE WITH HORIZONTAL BAR             , ohbar
U+29B6, CIRCLED VERTICAL BAR                   , omid
U+29B7, CIRCLED PARALLEL                       , opar
U+29B9, CIRCLED PERPENDICULAR                  , operp
U+29BB, CIRCLE WITH SUPERIMPOSED X             , olcross
U+29BC, CIRCLED ANTICLOCKWISE-ROTATED DIVISION SIGN, odsold
U+29BE, CIRCLED WHITE BULLET                   , olcir
U+29BF, CIRCLED BULLET                         , ofcir
U+29C0, CIRCLED LESS-THAN                      , olt
U+29C1, CIRCLED GREATER-THAN                   , ogt
U+29C2, CIRCLE WITH SMALL CIRCLE TO THE RIGHT  , cirscir
U+29C3, CIRCLE WITH TWO HORIZONTAL STROKES TO THE RIGHT, cirE
U+29C4, SQUARED RISING DIAGONAL SLASH          , solb
U+29C5, SQUARED FALLING DIAGONAL SLASH         , bsolb
U+29C9, TWO JOINED SQUARES                     , boxbox
U+29CD, TRIANGLE WITH SERIFS AT BOTTOM         , trisb
U+29CE, RIGHT TRIANGLE ABOVE LEFT TRIANGLE     , rtriltri
U+29CF, LEFT TRIANGLE BESIDE VERTICAL BAR      , LeftTriangleBar
U+29CF U+0338, LEFT TRIANGLE BESIDE VERTICAL BAR with slash, NotLeftTriangleBar
U+29D0, VERTICAL BAR BESIDE RIGHT TRIANGLE     , RightTriangleBar
U+29D0 U+0338, VERTICAL BAR BESIDE RIGHT TRIANGLE with slash, NotRightTriangleBar
U+29DC, INCOMPLETE INFINITY                    , iinfin
U+29DD, TIE OVER INFINITY                      , infintie
U+29DE, INFINITY NEGATED WITH VERTICAL BAR     , nvinfin
U+29E3, EQUALS SIGN AND SLANTED PARALLEL       , eparsl
U+29E4, EQUALS SIGN AND SLANTED PARALLEL WITH TILDE ABOVE, smeparsl
U+29E5, IDENTICAL TO AND SLANTED PARALLEL      , eqvparsl
U+29EB, BLACK LOZENGE                          , lozf, blacklozenge
U+29F4, RULE-DELAYED                           , RuleDelayed
U+29F6, SOLIDUS WITH OVERBAR                   , dsol
U+2A00, N-ARY CIRCLED DOT OPERATOR             , xodot, bigodot
U+2A01, N-ARY CIRCLED PLUS OPERATOR            , xoplus, bigoplus
U+2A02, N-ARY CIRCLED TIMES OPERATOR           , xotime, bigotimes
U+2A04, N-ARY UNION OPERATOR WITH PLUS         , xuplus, biguplus
U+2A06, N-ARY SQUARE UNION OPERATOR            , xsqcup, bigsqcup
U+2A0C, QUADRUPLE INTEGRAL OPERATOR            , qint, iiiint
U+2A0D, FINITE PART INTEGRAL                   , fpartint
U+2A10, CIRCULATION FUNCTION                   , cirfnint
U+2A11, ANTICLOCKWISE INTEGRATION              , awint
U+2A12, LINE INTEGRATION WITH RECTANGULAR PATH AROUND POLE, rppolint
U+2A13, LINE INTEGRATION WITH SEMICIRCULAR PATH AROUND POLE, scpolint
U+2A14, LINE INTEGRATION NOT INCLUDING THE POLE, npolint
U+2A15, INTEGRAL AROUND A POINT OPERATOR       , pointint
U+2A16, QUATERNION INTEGRAL OPERATOR           , quatint
U+2A17, INTEGRAL WITH LEFTWARDS ARROW WITH HOOK, intlarhk
U+2A22, PLUS SIGN WITH SMALL CIRCLE ABOVE      , pluscir
U+2A23, PLUS SIGN WITH CIRCUMFLEX ACCENT ABOVE , plusacir
U+2A24, PLUS SIGN WITH TILDE ABOVE             , simplus
U+2A25, PLUS SIGN WITH DOT BELOW               , plusdu
U+2A26, PLUS SIGN WITH TILDE BELOW             , plussim
U+2A27, PLUS SIGN WITH SUBSCRIPT TWO           , plustwo
U+2A29, MINUS SIGN WITH COMMA ABOVE            , mcomma
